osm_id,amenity_type,name,latitude,longitude
2302338833,place_of_worship,गणेश मन्दिर,27.73539,85.2965198
2303600044,police,Ranibari Police station,27.7301705,85.3179649
2307727804,clinic,Siddhartha Poly Clinic,27.7061565,85.3200582
2308013115,dentist,Kathmandu Dental Home,27.7102514,85.3129531
2311533699,clinic,Jana Polyclinic,27.6750119,85.2771515
2314312104,school,अन्‍नपूर्ण माध्यामिक विद्यालय,27.6743548,85.3037355
2316603873,college,Cambridge College,27.6871127,85.2983923
2317280628,place_of_worship,सिद्धि विनायक,27.6657569,85.3207592
2319779682,community_centre,मियाजुला भोज,27.6618727,85.3171264
2320299473,college,intensive international college,27.6967359,85.2953077
2321560436,school,बाबु बिद्या मन्दिर उच्च माध्यमिक विद्यालय,27.6831568,85.3177465
2322977673,place_of_worship,किरातेश्वर महादेव,27.7125621,85.3498299
2322979162,place_of_worship,शिवलिंग,27.7102307,85.3485083
2337121007,dentist,Swastik Dental Clinic,27.7157793,85.3040466
2337121030,clinic,shubhekshya poly clinic,27.7150322,85.3038536
2348989708,college,Gramin Adarsha,27.7421178,85.3031686
2352485018,clinic,Lagankhel Dental Clinic,27.6664931,85.3240827
2352485019,clinic,Lalitpur Poly Clinic,27.666544,85.3240926
2352517834,dentist,ललितपुर दन्त सेवा केन्द्र,27.6834189,85.3186079
2352517835,clinic,सुब्बा प्याथोलोजी एण्ड क्लिनिक प्राइभेट लिमिटेड,27.6864331,85.3168432
2352610254,clinic,Sagarmatha Poly Clinic,27.6984834,85.2992744
2352666875,hospital,Buddha Minimal Access International (MAI) Center,27.6980033,85.304213
2353028299,atm,MEGA Bank ATM,27.6946562,85.3108024
2353771417,college,एआईएमएस अन्तर्राष्ट्रिय कलेज,27.6682044,85.3226379
2353843451,clinic,Upatyaka Poly Clinic,27.6758794,85.3159633
2354567332,kindergarten,Subha Play Group and Pre School,27.7238183,85.2962038
2354572329,place_of_worship,रामेश्वर महादेव,27.7228559,85.3012969
2354572330,police,Temporary police Beat,27.7230833,85.3017347
2354597322,fast_food,Quality Feed And Cold Storage pv. Ltd,27.7291004,85.3031752
2355629165,dentist,Ortho Dental Clinic,27.6749699,85.3144352
2355629169,clinic,Prashanti Health Care Center,27.6749845,85.3144129
2355652816,dentist,OroPlus Dental Clinic,27.6755158,85.3157718
2359710619,dentist,LKS Dental Solution,27.689915,85.3286846
2370516069,bank,Unnamed,27.6681638,85.3052087
2380966268,college,Janamaitre Foundation Institute of Health Science,27.728144,85.3031224
2381971836,college,Cambridge College,27.6936118,85.2804068
2396118076,place_of_worship,मैतीदेवी मन्दिर,27.707505,85.325639
2399736746,dentist,Brighter Dental Clinic,27.7002129,85.3119907
2399746904,clinic,Asha X-Ray Clinic,27.7056895,85.3122599
2399748665,clinic,Mahabaudhha Clinic,27.7057086,85.3122847
2399749797,clinic,Trishuli X-Ray and Clinic,27.7057108,85.3127797
2399753629,clinic,एसिया प्यासिफिक पोली क्लिनिक,27.6904652,85.3180456
2399753633,clinic,एसआरएल डायग्नोस्टिक,27.6905262,85.3180122
2399974682,clinic,Baluwatar Polyclinic,27.7424903,85.3326673
2400018825,clinic,Fronline Polyclinic,27.6970122,85.3457674
2400020661,clinic,Khajana Polyclinic,27.7057065,85.3484664
2400031583,dentist,कल्याण डेंटल,27.71573,85.2839485
2400031584,dentist,स्वयाम्भु डेंटल,27.7156934,85.2841015
2425005466,hospital,नेपाल प्रहरी अस्पताल,27.7310242,85.3235715
2476446142,restaurant,Koyla Restro & Bar,27.7036353,85.3105907
2484984752,shop,Furniture Trade Link,27.7055587,85.3257706
2508845823,restaurant,Mama's Curry,27.6770893,85.3137045
2509107152,fast_food,Sita Khaja Ghar,27.7174315,85.3384094
2509326776,place_of_worship,टुसालेश्वर,27.7311412,85.3340498
2509326882,place_of_worship,Unnamed,27.7314892,85.3364993
2515022672,place_of_worship,Unnamed,27.7366893,85.3426897
2520619641,cafe,Café Soma,27.6786722,85.3104479
2521940680,fast_food,Sandwich Hub,27.6763777,85.3118222
2521950150,cafe,Roadhouse Cafe,27.6761042,85.3130233
2522200805,restaurant,तत्वा बिस्ट्रो एण्ड बार,27.6850573,85.3127069
2524449206,restaurant,Korean Taste Restaurant,27.6802632,85.3100571
2526448449,police,Unnamed,27.7312473,85.3370363
2526449042,drinking_water,Unnamed,27.737949,85.3457351
2530540209,taxi,Unnamed,27.6808522,85.3102375
2530540971,taxi,Unnamed,27.6841027,85.3121841
2538142860,place_of_worship,Narayan Temple,27.7082973,85.3103379
2538150645,place_of_worship,रक्ताकाली मन्दिर,27.7087653,85.3069883
